phase,dataset,n,mode,k,topk,minlen,maxlen,rep,runtime_ms,patterns,pair_attempts,compatible_pairs,pdub_prunes,dub_prunes,aligned_checks,peak_heap_mb
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,0,7.273000,50,81,224,71,108,374157,360.202
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,1,10.005100,50,81,224,71,108,374157,364.202
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,2,9.128100,50,81,224,71,108,374157,370.067
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,3,7.248400,50,81,224,71,108,374157,374.063
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,4,7.634900,50,81,224,71,108,374157,380.203
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,5,9.389800,50,81,224,71,108,374157,384.201
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,6,8.662100,50,81,224,71,108,374157,390.079
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,7,7.231900,50,81,224,71,108,374157,394.069
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,8,8.060500,50,81,224,71,108,374157,400.201
ablation,DB4_SP500.txt,23046,tk-naive,4.3391477913737744e-05,50,2,12,9,7.404700,50,81,224,71,108,374157,404.207
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,0,6.992500,50,81,224,71,108,374157,434.279
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,1,6.877500,50,81,224,71,108,374157,440.202
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,2,7.139100,50,81,224,71,108,374157,446.066
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,3,7.233500,50,81,224,71,108,374157,450.073
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,4,8.331700,50,81,224,71,108,374157,454.340
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,5,8.322400,50,81,224,71,108,374157,8.077
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,6,6.359300,50,81,224,71,108,374157,14.077
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,7,5.966900,50,81,224,71,108,374157,18.077
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,8,6.101500,50,81,224,71,108,374157,24.077
ablation,DB4_SP500.txt,23046,tk,4.3391477913737744e-05,50,2,12,9,5.890700,50,81,224,71,108,374157,28.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,0,23.212500,50,81,238,0,216,1037500,154.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,1,15.070600,50,81,238,0,216,1037500,166.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,2,15.157000,50,81,238,0,216,1037500,180.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,3,15.790900,50,81,238,0,216,1037500,192.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,4,15.387100,50,81,238,0,216,1037500,206.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,5,15.998900,50,81,238,0,216,1037500,218.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,6,17.939400,50,81,238,0,216,1037500,232.077
ablation,DB5_NYSE.txt,60000,tk-no-pdub,1.6666666666666667e-05,50,2,12,7,18.836300,50,81,238,0,216,1037500,246.077
